unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
1001,2025-01-05,Noise - Residential,Loud party music after midnight,BROOKLYN,BROOKLYN 01,Officers advised occupants to lower music,40.7300,-73.9600
1002,2025-01-07,Noise - Residential,Banging and hammering from upstairs apartment,BROOKLYN,BROOKLYN 01,Condition resolved after inspection,40.7300,-73.9600
1003,2025-01-11,Noise - Residential,Construction drilling started before 7am,BROOKLYN,BROOKLYN 03,Referred to construction enforcement,40.6850,-73.9350
1004,2025-01-17,Noise - Residential,Dog barking continuously in rear yard,BROOKLYN,BROOKLYN 03,Caller advised to document recurrence,40.6850,-73.9350
1005,2025-02-02,Noise - Residential,Television and stereo too loud next door,MANHATTAN,MANHATTAN 10,Building staff contacted resident,40.8150,-73.9400
1006,2025-02-06,Noise - Residential,Unspecified loud banging noise every night,MANHATTAN,MANHATTAN 10,No access gained during inspection,40.8150,-73.9400
1007,2025-02-10,Rodent,Rats seen near overflowing trash bags,BROOKLYN,BROOKLYN 01,Sanitation notified,40.7300,-73.9600
1008,2025-02-15,Rodent,Mouse droppings reported in kitchen cabinet,BROOKLYN,BROOKLYN 03,Property owner ordered extermination,40.6850,-73.9350
1009,2025-02-18,Rodent,Request for exterminator due to rat infestation,MANHATTAN,MANHATTAN 10,Extermination scheduled,40.8150,-73.9400
1010,2025-03-05,Noise - Residential,Neighbors arguing loudly with bass music,QUEENS,QUEENS 02,Patrol responded to scene,40.7550,-73.9200
1011,2025-03-09,Noise - Residential,Party speakers shaking shared wall,QUEENS,QUEENS 02,Occupants issued warning,40.7550,-73.9200
1012,2025-03-15,Noise - Residential,Repetitive thumping noise from upstairs unit,QUEENS,QUEENS 02,Inspection could not verify source,40.7550,-73.9200
1016,2025-03-24,Illegal Parking,Vehicle parked at fire hydrant overnight,BRONX,BRONX 05,Officer requested vehicle relocation,40.8450,-73.9100
1017,2025-03-25,Illegal Parking,Commercial van double parked at curb,BROOKLYN,BROOKLYN 01,Summons requested,40.7300,-73.9600
1018,2025-03-26,Illegal Parking,Truck blocking driveway entrance,QUEENS,QUEENS 02,Unable to locate owner,40.7550,-73.9200
1019,2025-03-27,Blocked Driveway,Unknown car blocking residential driveway,BROOKLYN,BROOKLYN 01,Officer requested vehicle relocation,40.7300,-73.9600
1020,2025-03-28,Blocked Driveway,Commercial van blocking driveway access,QUEENS,QUEENS 02,Summons requested,40.7550,-73.9200
1021,2025-03-29,Blocked Driveway,Neighbor vehicle parked across driveway overnight,MANHATTAN,MANHATTAN 10,Unable to locate owner,40.8150,-73.9400
